generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
5600000,Araucaria_columnaris,Araucaria_heterophylla,290.6,0.224808,0.00132366,0.0430828,0
5600000,Agathis_montana,Agathis_australis,284.179,0.0821704,0.00453496,0.0186714,0
5600000,Hesperocyparis_abramsiana,Podocarpus_nakaii,26.5949,0.0781983,-0.00265133,0.0421013,0
5700000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.215517,0.000687822,0.241773,0
5700000,Hesperocyparis_abramsiana,Calocedrus_rupestris,252.748,0.148227,0.0010432,0.120531,0
5700000,Podocarpus_nakaii,Dacrydium_guillauminii,212.738,0.0589121,0.00442055,0.0369069,0
5700000,Hesperocyparis_abramsiana,Podocarpus_nakaii,2.70054,0.0761311,-0.00108261,0.0558405,0
5800000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.208443,0.000878004,0.225475,0
5800000,Hesperocyparis_abramsiana,Juniperus_angosturana,269.026,0.344352,-0.00422621,0.244205,0
5800000,Podocarpus_nakaii,Podocarpus_insularis,296.143,0.256775,-0.00160695,0.11797,0
5800000,Podocarpus_nakaii,Dacrydium_guillauminii,218.366,0.0714772,0.00167896,0.030749,0
5800000,Hesperocyparis_abramsiana,Podocarpus_nakaii,15.632,0.0851819,-0.00111754,0.0625282,0
5900000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.249752,3.85677e-05,0.238066,0
5900000,Hesperocyparis_abramsiana,Juniperus_angosturana,262.045,0.30785,-0.000649217,0.254695,0
