generation,N_shifts,logPrior,logLik,eventRate,acceptRate
33000000,3,18.9301,-2108.11,2.66383,0.250655
33100000,3,19.2314,-2107.67,1.69661,0.23463
33200000,3,20.5799,-2120.94,1.30633,0.262362
33300000,3,21.7878,-2111.04,0.917966,0.25241
33400000,3,19.496,-2107.66,2.90649,0.25553
33500000,3,19.3619,-2123.08,1.72713,0.244322
33600000,4,24.6486,-2115.62,0.597817,0.2595
33700000,5,31.4664,-2116.53,2.34486,0.254681
33800000,5,30.4701,-2105.85,2.89296,0.303265
33900000,4,26.2064,-2112.96,1.97978,0.214016
34000000,5,25.6913,-2106.77,4.64408,0.270712
34100000,4,26.9516,-2105.54,2.61843,0.246645
34200000,3,19.9796,-2113.22,1.34729,0.255938
34300000,3,17.5335,-2108.64,1.86143,0.22385
34400000,3,22.1566,-2109.74,0.779481,0.26806
34500000,4,29.4922,-2114.13,1.24545,0.22166
34600000,3,17.9381,-2119.17,2.09663,0.21545
34700000,3,20.4715,-2119.96,1.7652,0.297067
34800000,4,24.3845,-2109.86,4.90404,0.25633
34900000,4,25.7055,-2105.48,2.39036,0.256915
35000000,3,18.7617,-2110.03,1.31448,0.26061
35100000,3,17.9848,-2107.96,1.71011,0.270006
35200000,7,47.1412,-2117.6,3.29576,0.212198
35300000,5,27.6456,-2102.29,2.45009,0.23836
35400000,4,22.7288,-2120.21,2.86825,0.240104
35500000,5,36.8453,-2119.5,2.28396,0.253978
35600000,3,19.0649,-2106.21,1.60668,0.24083
35700000,3,20.2674,-2109.16,1.83548,0.24192
35800000,3,16.2596,-2111.27,3.03095,0.26184
35900000,3,21.804,-2118.9,2.28379,0.206102
36000000,3,19.8039,-2117.82,3.35815,0.24191
36100000,5,35.9043,-2111.39,2.26482,0.26843
36200000,4,28.6423,-2112.48,2.25972,0.254785
36300000,3,21.4264,-2112.54,0.421423,0.24692
36400000,4,23.1457,-2111.29,4.64354,0.25234
36500000,8,53.7115,-2103.3,2.24138,0.29602
36600000,4,24.9437,-2102.36,4.14749,0.258106
36700000,5,34.586,-2107.69,1.47834,0.25831
36800000,3,20.8423,-2110.66,2.24417,0.231954
36900000,4,22.417,-2109.38,3.4158,0.24172
37000000,4,26.3448,-2108.63,3.55372,0.271094
37100000,5,31.8603,-2111.95,4.35197,0.224253
37200000,4,22.1183,-2111.46,1.99443,0.2405
37300000,3,16.7662,-2108.87,4.16252,0.21257
37400000,11,56.3016,-2083.95,9.03687,0.31335
37500000,4,18.2131,-2114.8,3.42893,0.250883
37600000,3,15.9752,-2114.05,3.51803,0.24914
37700000,4,23.3427,-2109.34,3.28189,0.33788
37800000,3,19.2994,-2110.89,2.08372,0.230773
37900000,3,19.7156,-2116.56,0.862369,0.228832
38000000,6,40.8688,-2106.64,2.08661,0.280257
38100000,7,48.4833,-2094.05,3.51194,0.28292
38200000,8,49.7946,-2123.33,4.39662,0.310635
38300000,7,42.6233,-2099.12,6.41879,0.3457
38400000,3,19.9552,-2108,1.56958,0.20918
38500000,8,48.533,-2099.79,3.65197,0.32051
38600000,6,39.0512,-2103.45,3.33165,0.337883
38700000,5,31.9821,-2111.48,4.21434,0.27422
38800000,3,16.9788,-2105.52,1.63432,0.226137
38900000,4,26.7038,-2107.59,1.37069,0.219781
39000000,6,39.5253,-2109.63,3.04951,0.336618
39100000,5,29.1428,-2106.11,2.16478,0.270522
39200000,4,25.5495,-2110.84,0.645233,0.25216
39300000,4,27.7405,-2121.89,2.65371,0.28224
39400000,3,19.855,-2109.02,1.84247,0.248266
39500000,3,20.7251,-2109.6,1.0745,0.217597
39600000,4,25.0623,-2114.74,1.76816,0.2496
39700000,11,70.0002,-2095.34,6.80177,0.34065
39800000,3,18.573,-2109.99,1.7567,0.245955
39900000,7,48.7174,-2096.52,4.85509,0.33637
40000000,3,19.1959,-2109.85,1.51246,0.229404
40100000,5,29.7285,-2113.7,1.80488,0.22491
